# y, k, epsilon, nut, U
-9.191138516900577704e-01,8.130328988616443084e-03,3.656372075239626776e-03,1.627077969435743047e-03,4.115383354181587072e-01
-9.142097557035306910e-01,8.115457159284484440e-03,3.474243595700493396e-03,1.706114691759649891e-03,4.190187376340945846e-01
-9.091679830905223803e-01,8.096626539236765480e-03,3.304040587928852146e-03,1.785687058441108501e-03,4.263383341561855500e-01
-9.039892931234433382e-01,8.074130077560472477e-03,3.144782692466565905e-03,1.865706619378914872e-03,4.335043366657248542e-01
-8.986744656939539277e-01,8.048227922512632068e-03,2.995581928335639028e-03,1.946085162018313221e-03,4.405234303778490790e-01
-8.932243011955152134e-01,8.019151890305593541e-03,2.855633370421723025e-03,2.026734872035289552e-03,4.474018229951636227e-01
-8.876396204028538239e-01,7.987109253764928390e-03,2.724206744242132182e-03,2.107568485019417626e-03,4.541452876795548654e-01
-8.819212643483549385e-01,7.952285965910993459e-03,2.600638871378734094e-03,2.188499429953145569e-03,4.607592009429815616e-01
-8.760700941954064902e-01,7.914849412338501727e-03,2.484326894503551767e-03,2.269441965255674515e-03,4.672485761955050276e-01
-8.700869911087113495e-01,7.874950769299827319e-03,2.374722210803218748e-03,2.350311308122614556e-03,4.736180935599467734e-01
-8.639728561215866964e-01,7.832727030742685573e-03,2.271325045095419840e-03,2.431023757852138287e-03,4.798721264595679492e-01
-8.577286100002720071e-01,7.788302756519488099e-03,2.173679597933548570e-03,2.511496813807704166e-03,4.860147654022567987e-01
-8.513551931052651955e-01,7.741791585035134524e-03,2.081369708787352609e-03,2.591649288628175302e-03,4.920498393175104512e-01
-8.448535652497071169e-01,7.693297546311532453e-03,1.994014979490569064e-03,2.671401417259397938e-03,4.979809347476450432e-01
-8.382247055548378567e-01,7.642916205490378652e-03,1.911267308256165299e-03,2.750674962347413825e-03,5.038114131496149728e-01
-8.314696123025453467e-01,7.590735661909884038e-03,1.832807789487062413e-03,2.829393316502951377e-03,5.095444265265923756e-01
-8.245893027850250689e-01,7.536837424870263327e-03,1.758343939245638832e-03,2.907481601919497706e-03,5.151829315775080520e-01
-8.175848131515836004e-01,7.481297183882741966e-03,1.687607210532036071e-03,2.984866767802863037e-03,5.207297025268669000e-01
-8.104571982525946572e-01,7.424185488446528695e-03,1.620350766436336925e-03,3.061477686049160138e-03,5.261873427754308885e-01
-8.032075314806448318e-01,7.365568350113521796e-03,1.556347482773967963e-03,3.137245245589334770e-03,5.315582954939750415e-01
-7.958369046088834553e-01,7.305507777695975473e-03,1.495388154999536916e-03,3.212102445802415048e-03,5.368448532667576822e-01
-7.883464276266062276e-01,7.244062254881213254e-03,1.437279887044306355e-03,3.285984489385698672e-03,5.420491668780601513e-01
-7.807372285720944882e-01,7.181287168183528476e-03,1.381844642261670407e-03,3.358828875057980837e-03,5.471732533237876339e-01
-7.730104533627369934e-01,7.117235192042526380e-03,1.328917938920926673e-03,3.430575490461296086e-03,5.522190031203703109e-01
-7.651672656224589586e-01,7.051956636932557761e-03,1.278347674689482658e-03,3.501166705617244322e-03,5.571881869747858929e-01
-7.572088465064843454e-01,6.985499765549552618e-03,1.229993066313651373e-03,3.570547467285109782e-03,5.620824618722634058e-01
-7.491363945234593702e-01,6.917911081465159817e-03,1.183723692273027988e-03,3.638665394560592660e-03,5.669033766319291345e-01
-7.409511253549588838e-01,6.849235594063060421e-03,1.139418627565733219e-03,3.705470876045299008e-03,5.716523769751916673e-01
-7.326542716724127047e-01,6.779517063082117316e-03,1.096965661002434088e-03,3.770917168907495128e-03,5.763308101469083455e-01
-7.242470829514667807e-01,6.708798225671356794e-03,1.056260586464300788e-03,3.834960500143971916e-03,5.809399291252568265e-01
-7.157308252838185947e-01,6.637121008501399404e-03,1.017206560531145037e-03,3.897560170339525471e-03,5.854808964526413417e-01
-7.071067811865474617e-01,6.564526727165476486e-03,9.797135197252852725e-04,3.958678660204557886e-03,5.899547877168603849e-01
-6.983762494089728046e-01,6.491056274832756635e-03,9.436976513577694393e-04,4.018281740150892248e-03,5.943625947090770412e-01
-6.895405447370669405e-01,6.416750301879934823e-03,9.090809126179264779e-04,4.076338583140416694e-03,5.987052282828365657e-01
-6.806009977954530221e-01,6.341649388017882999e-03,8.757905931251703862e-04,4.132821881008796362e-03,6.029835209364207138e-01
-6.715589548470184411e-01,6.265794208243342586e-03,8.437589166725847434e-04,4.187707964425857465e-03,6.071982291391987419e-01
-6.624157775901715617e-01,6.189225693776205343e-03,8.129226783429964595e-04,4.240976926603111548e-03,6.113500354213000643e-01
-6.531728429537768665e-01,6.111985188987136171e-03,7.832229135770428768e-04,4.292612750795379330e-03,6.154395502448885003e-01
-6.438315428897912751e-01,6.034114605173643980e-03,7.546045961251339300e-04,4.342603441564478126e-03,6.194673136745443287e-01
-6.343932841636453768e-01,5.955656571902519410e-03,7.270163621267860567e-04,4.390941159675702116e-03,6.234337968637495564e-01
-6.248594881423862324e-01,5.876654586498579122e-03,7.004102578359306091e-04,4.437622360378816640e-03,6.273394033742359932e-01
-6.152315905806267082e-01,5.797153162121810969e-03,6.747415087539858488e-04,4.482647934680097403e-03,6.311844703449784877e-01
-6.055110414043254341e-01,5.717197974733313412e-03,6.499683081469400476e-04,4.526023353036395802e-03,6.349692695279091081e-01
-5.956993044924333569e-01,5.636836009102817562e-03,6.260516231119177223e-04,4.567758810690766141e-03,6.386940082079967107e-01
-5.857978574564388641e-01,5.556115703853766428e-03,6.029550165252812143e-04,4.607869373616074390e-03,6.423588300261917627e-01
-5.758081914178453387e-01,5.475087095373551080e-03,5.806444833508367376e-04,4.646375123731772555e-03,6.459638157248658308e-01
-5.657318107836132315e-01,5.393801960233853519e-03,5.590882999153237070e-04,4.683301301702555257e-03,6.495089838368174329e-01
-5.555702330196019556e-01,5.312313955567160920e-03,5.382568848710825261e-04,4.718678445208584864e-03,6.529942913406361349e-01
-5.453249884220465749e-01,5.230678756628066514e-03,5.181226706644012766e-04,4.752542520087155858e-03,6.564196343072465911e-01
-5.349976198870970423e-01,5.148954190530664887e-03,4.986599844142038367e-04,4.784935041177527243e-03,6.597848485647681560e-01
-5.245896826784687272e-01,5.067200364895415102e-03,4.798449371810963949e-04,4.815903179046321890e-03,6.630897104113996354e-01
-5.141027441932215503e-01,4.985479789859624880e-03,4.616553206727128274e-04,4.845499848023676961e-03,6.663339374088715905e-01
-5.035383837257174644e-01,4.903857491607176156e-03,4.440705104894996529e-04,4.873783770135082898e-03,6.695171892920176449e-01
