# y, nut, U, k, epsilon
-5.141027441932216613e-01,5.578041734981258742e-03,6.392110154894148355e-01,6.682024134471274343e-03,7.204051850003949115e-04
-4.928981922297839824e-01,5.639506631556551706e-03,6.466061510671123891e-01,6.469442899340548808e-03,6.679364835616537687e-04
-4.713967368259976976e-01,5.695431838867008774e-03,6.537168594351171480e-01,6.257266645051745568e-03,6.187072074162395900e-04
-4.496113296546067062e-01,5.746529099670449198e-03,6.605374766122674712e-01,6.046381209735171049e-03,5.725691559098107638e-04
-4.275550934302822514e-01,5.793608180412680025e-03,6.670614819107015814e-01,5.837724515331089298e-03,5.293959102878643963e-04
-4.052413140049897500e-01,5.837566406153436166e-03,6.732815886293715968e-01,5.632286963158547946e-03,4.890803599550314117e-04
-3.826834323650897263e-01,5.879370668117186657e-03,6.791898700963575619e-01,5.431108931945054577e-03,4.515321674061001985e-04
-3.598950365349881664e-01,5.920029714204240283e-03,6.847779274125364024e-01,5.235274733245555250e-03,4.166751278311640340e-04
-3.368898533922199401e-01,5.960554512022338443e-03,6.900371031733766314e-01,5.045902451064114558e-03,3.844444060509835887e-04
-3.136817403988914066e-01,6.001904868284064186e-03,6.949587415608105001e-01,4.864129296851597145e-03,3.547836712201820372e-04
-2.902846772544621645e-01,6.044921540702987567e-03,6.995344891776087426e-01,4.691092482199953582e-03,3.276421980920262399e-04
-2.667127574748983099e-01,6.090245039479930816e-03,7.037566228962744974e-01,4.527906160441749241e-03,3.029720587328845350e-04
-2.429801799032638709e-01,6.138225349237957755e-03,7.076183815262393484e-01,4.375635681081479524e-03,2.807255822619366976e-04
-2.191012401568696588e-01,6.188830834508607381e-03,7.111142688588130145e-01,4.235271139826424398e-03,2.608533000295488579e-04
-1.950903220161281926e-01,6.241569124956065223e-03,7.142402890855827913e-01,4.107702826464569926e-03,2.433026047692360286e-04
-1.709618887603012449e-01,6.295436747858698320e-03,7.169940745984646480e-01,3.993701464375654792e-03,2.280173214794535541e-04
-1.467304744553616369e-01,6.348916086599538759e-03,7.193748732096767462e-01,3.893905906667312865e-03,2.149383091986906526e-04
-1.224106751992161540e-01,6.400036095120235913e-03,7.213833777146083648e-01,3.808820110068663039e-03,2.040050926858377875e-04
-9.801714032956064526e-02,6.446505769040006099e-03,7.230214037897415569e-01,3.738819821567377927e-03,1.951583810372376415e-04
-7.356456359966732916e-02,6.485916690131366541e-03,7.242914482220437211e-01,3.684167740988016949e-03,1.883431954645665930e-04
-4.906767432741800800e-02,6.515995051568978375e-03,7.251961826085955298e-01,3.645034345669403812e-03,1.835122302635780760e-04
-2.454122852291214241e-02,6.534868431550972141e-03,7.257379524019698103e-01,3.621520466612122239e-03,1.806290297152917995e-04
6.123233995736766036e-17,6.541303152889235174e-03,7.259183539588507372e-01,3.613677356446370718e-03,1.796705848689002379e-04
2.454122852291226384e-02,6.534868431550975611e-03,7.257379524019699213e-01,3.621520466612136117e-03,1.806290297152930463e-04
4.906767432741812596e-02,6.515995051568982711e-03,7.251961826085955298e-01,3.645034345669431568e-03,1.835122302635806238e-04
7.356456359966745406e-02,6.485916690131373480e-03,7.242914482220431660e-01,3.684167740988056848e-03,1.883431954645703335e-04
9.801714032956077016e-02,6.446505769040021712e-03,7.230214037897406687e-01,3.738819821567430837e-03,1.951583810372426017e-04
1.224106751992162789e-01,6.400036095120261066e-03,7.213833777146073656e-01,3.808820110068728958e-03,2.040050926858439674e-04
1.467304744553617479e-01,6.348916086599576056e-03,7.193748732096750809e-01,3.893905906667390494e-03,2.149383091986978897e-04
1.709618887603013559e-01,6.295436747858744291e-03,7.169940745984628716e-01,3.993701464375743262e-03,2.280173214794618754e-04
1.950903220161283314e-01,6.241569124956119867e-03,7.142402890855809039e-01,4.107702826464667938e-03,2.433026047692453799e-04
2.191012401568697698e-01,6.188830834508671566e-03,7.111142688588109051e-01,4.235271139826531084e-03,2.608533000295589410e-04
2.429801799032639820e-01,6.138225349238030613e-03,7.076183815262373500e-01,4.375635681081593148e-03,2.807255822619477022e-04
2.667127574748984209e-01,6.090245039480015818e-03,7.037566228962723880e-01,4.527906160441871539e-03,3.029720587328963528e-04
2.902846772544623311e-01,6.044921540703082109e-03,6.995344891776065221e-01,4.691092482200083687e-03,3.276421980920387624e-04
3.136817403988915731e-01,6.001904868284164800e-03,6.949587415608080576e-01,4.864129296851734188e-03,3.547836712201954271e-04
3.368898533922200511e-01,5.960554512022448598e-03,6.900371031733742999e-01,5.045902451064259407e-03,3.844444060509976833e-04
3.598950365349882774e-01,5.920029714204353907e-03,6.847779274125337379e-01,5.235274733245703568e-03,4.166751278311787250e-04
3.826834323650898373e-01,5.879370668117308955e-03,6.791898700963545643e-01,5.431108931945205498e-03,4.515321674061148895e-04
4.052413140049898610e-01,5.837566406153561933e-03,6.732815886293683771e-01,5.632286963158700602e-03,4.890803599550457232e-04
4.275550934302819739e-01,5.793608180412811864e-03,6.670614819106983617e-01,5.837724515331238484e-03,5.293959102878778404e-04
4.496113296546068172e-01,5.746529099670587976e-03,6.605374766122640295e-01,6.046381209735325439e-03,5.725691559098245332e-04
4.713967368259978086e-01,5.695431838867150154e-03,6.537168594351141504e-01,6.257266645051904295e-03,6.187072074162539015e-04
4.928981922297840934e-01,5.639506631556699158e-03,6.466061510671097246e-01,6.469442899340715342e-03,6.679364835616690560e-04
5.141027441932216613e-01,5.578041734981406194e-03,6.392110154894117269e-01,6.682024134471446948e-03,7.204051850004108493e-04
5.349976198870971533e-01,5.510428313883384936e-03,6.315361975417611573e-01,6.894173928201307450e-03,7.762857676468953080e-04
5.555702330196020666e-01,5.436161355327453343e-03,6.235854817935614358e-01,7.105100884217892092e-03,8.357774861280878754e-04
5.758081914178454497e-01,5.354837883333442294e-03,6.153616663973869860e-01,7.314052968962789052e-03,8.991090822630594696e-04
5.956993044924334679e-01,5.266153431473802847e-03,6.068665464455145209e-01,7.520310915106074787e-03,9.665416949242245162e-04
6.152315905806268193e-01,5.169897471262329194e-03,5.981009022254279994e-01,7.723180926471913572e-03,1.038372067514325807e-03
6.343932841636454878e-01,5.065948286987167343e-03,5.890644885688375298e-01,7.921986823403483202e-03,1.114936128587123770e-03
6.531728429537766445e-01,4.954267628970219703e-03,5.797560221547041204e-01,8.116061682330017943e-03,1.196613020289527020e-03
6.715589548470185521e-01,4.834895359352974105e-03,5.701731641372754789e-01,8.304738947429264259e-03,1.283829648275165106e-03
6.895405447370670515e-01,4.707944219158815592e-03,5.603124958205919492e-01,8.487342923018420526e-03,1.377065825032296837e-03
7.071067811865475727e-01,4.573594785009323441e-03,5.501694852943344038e-01,8.663178489024985982e-03,1.476860075160701859e-03
7.242470829514668917e-01,4.432090642124920585e-03,5.397384429858024246e-01,8.831519814374572466e-03,1.583816164347819468e-03
7.409511253549589949e-01,4.283733772056637010e-03,5.290124639680530150e-01,8.991597769652156721e-03,1.698610401065096635e-03
7.572088465064846785e-01,4.128880135098844141e-03,5.179833545850396348e-01,9.142585655548752382e-03,1.821999737474584366e-03
7.730104533627369934e-01,3.967935415654788057e-03,5.066415404885841189e-01,9.283582761035621966e-03,1.954830657950565841e-03
7.883464276266063386e-01,3.801350891924558731e-03,4.949759524894809526e-01,9.413595137115876241e-03,2.098048781405716101e-03
