# y, nut, U, k, epsilon
7.730104533627369934e-01,2.568782243180344708e-03,9.729009526613101588e-01,1.404511555985439759e-02,2.594115697962411093e-03
7.883464276266063386e-01,2.370013988480162113e-03,9.553924320085476207e-01,1.444468541924777416e-02,2.814058251701040143e-03
8.032075314806449429e-01,2.172382377430504431e-03,9.367921479368894744e-01,1.483085050072832298e-02,3.052569403046874290e-03
8.175848131515836004e-01,1.976984696917683058e-03,9.169839085807700574e-01,1.519707926188962333e-02,3.310458430019619803e-03
8.314696123025453467e-01,1.784929760267000599e-03,8.958332375373732059e-01,1.553488804401078477e-02,3.588026175602786888e-03
8.448535652497071169e-01,1.597327413676378474e-03,8.731841988117520215e-01,1.583327179272149901e-02,3.884721602078419940e-03
8.577286100002721181e-01,1.415278742654693883e-03,8.488557234040807753e-01,1.607798804662362996e-02,4.198633994542697555e-03
8.700869911087114605e-01,1.239867546399775868e-03,8.226374921679171504e-01,1.625067945698175850e-02,4.525757029526014490e-03
8.819212643483549385e-01,1.072153962494977334e-03,7.942855985063188573e-01,1.632784841027566311e-02,4.858950193240706324e-03
8.932243011955152134e-01,9.131716061685298154e-04,7.635185718710745251e-01,1.627976730415865020e-02,5.186530368876993147e-03
9.039892931234434492e-01,7.639302768459157794e-04,7.300150756269128127e-01,1.606956247638880245e-02,5.490485166862938207e-03
9.142097557035306910e-01,6.254270928928072843e-04,6.934160576446906088e-01,1.565302518721875535e-02,5.744480005093423672e-03
9.238795325112867385e-01,4.986692546044387475e-04,6.533369639875273860e-01,1.498029566550262981e-02,5.912261799550775666e-03
9.329927988347388457e-01,3.847093326271374823e-04,6.094007509687446866e-01,1.400153885335912902e-02,5.947921238765943759e-03
9.415440651830206953e-01,2.846827608940025048e-04,5.613103591973587214e-01,1.267988297645850082e-02,5.800811228078741992e-03
9.495281805930367858e-01,1.998035813962375476e-04,5.089866470310224766e-01,1.101480037102014510e-02,5.428953637643898003e-03
9.569403357322089354e-01,1.312064636209237195e-04,4.527873576270330380e-01,9.073536086603710415e-03,4.822456941868299637e-03
9.637760657954398402e-01,7.947309681857919847e-05,3.937546783215810642e-01,7.011795537852982124e-03,4.027807366162622360e-03
9.700312531945439742e-01,4.387224363677025296e-05,3.337015867579491424e-01,5.047940585373650486e-03,3.148657813365785332e-03
9.757021300385285700e-01,2.189789542696283606e-05,2.749128324555196179e-01,3.380157154890907779e-03,2.306676259302193124e-03
9.807852804032304306e-01,9.817489738182420684e-06,2.195513953815179387e-01,2.107276271188718124e-03,1.589624431577758542e-03
9.852776423889412216e-01,3.922990541290611772e-06,1.692079590267659417e-01,1.220491341584019731e-03,1.027206685677236686e-03
9.891765099647810144e-01,1.378849031022720303e-06,1.248373189738325451e-01,6.495364500268287732e-04,6.109888587733984478e-04
9.924795345987099671e-01,4.122231733503861805e-07,8.693692604249984857e-02,3.096513664439837525e-04,3.238292481647960918e-04
9.951847266721969287e-01,9.792981733050517734e-08,5.575125198670576043e-02,1.259166874125853825e-04,1.447256343745138645e-04
9.972904566786902070e-01,1.613216368305027122e-08,3.140572746298917611e-02,3.970838683769680361e-05,4.927055989775453717e-05
9.987954562051724050e-01,1.346049847609422670e-09,1.397221544881802231e-02,7.837534441202759173e-06,1.024275802456004017e-05
9.996988186962042500e-01,2.063735908515242780e-11,3.495155964481624564e-03,4.899316578555013932e-07,6.533531176330965006e-07
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
