# y, nut, U, k, omega
-9.533060403541938621e-01,5.841104693044506507e-04,6.654806613673645010e-01,7.766127035282129054e-03,1.329564773000694800e+01
-9.495281805930366748e-01,6.516266586540686622e-04,6.802321244827270741e-01,7.865141237105882643e-03,1.207001145924621177e+01
-9.456073253805211687e-01,7.216551374904619153e-04,6.941422438835163078e-01,7.944247272219399567e-03,1.100837070161311715e+01
-9.415440651830206953e-01,7.940658904556037239e-04,7.073012837975969358e-01,8.006512993019803889e-03,1.008293277579936031e+01
-9.373390119125748488e-01,8.687333435990930849e-04,7.197861713187790889e-01,8.054422617526929215e-03,9.271455593217487134e+00
-9.329927988347388457e-01,9.455354555717112751e-04,7.316628658769431803e-01,8.089999252597788668e-03,8.555997773458139832e+00
-9.285060804732154782e-01,1.024353032311503715e-03,7.429882566283851908e-01,8.114900565368645541e-03,7.921976417697077721e+00
-9.238795325112867385e-01,1.105069208083397057e-03,7.538116871306891342e-01,8.130493344273886230e-03,7.357451718679993924e+00
-9.191138516900577704e-01,1.187569052034810569e-03,7.641761862028777497e-01,8.137911670866517996e-03,6.852579777927452653e+00
-9.142097557035306910e-01,1.271739270602580086e-03,7.741194668318776007e-01,8.138102438925313986e-03,6.399190956074694014e+00
-9.091679830905223803e-01,1.357467983890584678e-03,7.836747413670613893e-01,8.131861119338026217e-03,5.990462549276047710e+00
-9.039892931234433382e-01,1.444644559648918273e-03,7.928713905825753860e-01,8.119859996377038272e-03,5.620662842042038143e+00
-8.986744656939539277e-01,1.533159492448825508e-03,8.017355159251486896e-01,8.102670576721322793e-03,5.284949554582383691e+00
-8.932243011955152134e-01,1.622904318539398517e-03,8.102903978900346527e-01,8.080781470618341594e-03,4.979210036171977549e+00
-8.876396204028538239e-01,1.713771559010493278e-03,8.185568785519312662e-01,8.054612738905383984e-03,4.699933720195413223e+00
-8.819212643483549385e-01,1.805654685487591673e-03,8.265536824812644845e-01,8.024527467958534818e-03,4.444109680800646167e+00
-8.760700941954064902e-01,1.898448103796806499e-03,8.342976873354368550e-01,7.990841159164608840e-03,4.209143849222553690e+00
-8.700869911087113495e-01,1.992047151966362065e-03,8.418041531279327749e-01,7.953829386396967308e-03,3.992791726112333350e+00
-8.639728561215866964e-01,2.086348109648064088e-03,8.490869173921538060e-01,7.913734073717463083e-03,3.793103383429322406e+00
-8.577286100002720071e-01,2.181248216601537268e-03,8.561585620552776277e-01,7.870768668223497577e-03,3.608378270899600171e+00
-8.513551931052651955e-01,2.276645698323959740e-03,8.630305567321333582e-01,7.825122423699619120e-03,3.437127889271657466e+00
-8.448535652497071169e-01,2.372439797256841766e-03,8.697133822730463981e-01,7.776963965101611927e-03,3.278044810280889454e+00
-8.382247055548378567e-01,2.468530808280139030e-03,8.762166377018077990e-01,7.726444268598327454e-03,3.129976843992272162e+00
-8.314696123025453467e-01,2.564820117428527179e-03,8.825491331213443091e-01,7.673699164453399654e-03,2.991905401984700674e+00
-8.245893027850250689e-01,2.661210242946904572e-03,8.887189707153403395e-01,7.618851448592253890e-03,2.862927297377125591e+00
-8.175848131515836004e-01,2.757604877951030323e-03,8.947336156108848249e-01,7.562012671874103129e-03,2.742239373137794978e+00
-8.104571982525946572e-01,2.853908934082429513e-03,9.005999580723402786e-01,7.503284662818566347e-03,2.629125468304765789e+00
-8.032075314806448318e-01,2.950028585648547391e-03,9.063243682560577774e-01,7.442760829022105826e-03,2.522945325082643464e+00
-7.958369046088834553e-01,3.045871313825286846e-03,9.119127445585013536e-01,7.380527274129255327e-03,2.423125113864434521e+00
-7.883464276266062276e-01,3.141345950571715340e-03,9.173705564281865454e-01,7.316663760530869344e-03,2.329149312319236387e+00
-7.807372285720944882e-01,3.236362721969328511e-03,9.227028823778635758e-01,7.251244542586289706e-03,2.240553722041997098e+00
-7.730104533627369934e-01,3.330833290752589163e-03,9.279144438222501901e-01,7.184339090830687245e-03,2.156919444385482443e+00
-7.651672656224589586e-01,3.424670797845397706e-03,9.330096352740796517e-01,7.116012724117238945e-03,2.077867667921327932e+00
-7.572088465064843454e-01,3.517789902761128337e-03,9.379925513538852622e-01,7.046327163788108743e-03,2.003055145009502880e+00
-7.491363945234593702e-01,3.610106822762977619e-03,9.428670110040512364e-01,6.975341021636665903e-03,1.932170255366064016e+00
-7.409511253549588838e-01,3.701539370717824712e-03,9.476365792430473389e-01,6.903110231512622937e-03,1.864929571227003979e+00
-7.326542716724127047e-01,3.792006991611023003e-03,9.523045867496149341e-01,6.829688432850129429e-03,1.801074852435490481e+00
-7.242470829514667807e-01,3.881430797722954917e-03,9.568741475275827080e-01,6.755127313101055159e-03,1.740370411103039139e+00
-7.157308252838185947e-01,3.969733602500540373e-03,9.613481748687342510e-01,6.679476914980891564e-03,1.682600794867827210e+00
-7.071067811865474617e-01,4.056839953189696896e-03,9.657293958028043690e-01,6.602785913540888674e-03,1.627568745557605778e+00
-6.983762494089728046e-01,4.142676162327775871e-03,9.700203641994212811e-01,6.525101867334674732e-03,1.575093396551724201e+00
-6.895405447370669405e-01,4.227170338229333142e-03,9.742234726660065069e-01,6.446471447323791348e-03,1.525008677559966719e+00
-6.806009977954530221e-01,4.310252414634290971e-03,9.783409633677311312e-01,6.366940646642850130e-03,1.477161900084011492e+00
